,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR,dyad,speaker,session,sentence,duration(s),size(K),file_name
5171,104.2012297,305.5013361,68.77202516,82.79178606,0.015454283,0.063820439,18.1617262,6566,65,solo,57,5.56,478.6,SK0506_5_solo555_57_mono.wav
5172,104.5760124,483.1517644,70.82832489,82.68955627,0.013726639,0.066771912,19.0941552,6566,65,solo,58,6.02,518.22,SK0506_5_solo555_58_mono.wav
5173,82.59160803,299.0013762,68.59685211,82.2818945,0.016385619,0.056348734,19.0664224,6566,65,solo,59,8.94,770.24,SK0506_5_solo555_59_mono.wav
5174,93.64764421,261.9858087,71.82110926,86.00783032,0.014925684,0.059745884,20.5435087,6566,65,solo,5,5.85,504.01,SK0506_5_solo555_5_mono.wav
5175,94.26027922,286.3062508,67.68940975,79.85048943,0.017760865,0.057532857,17.2736156,6566,65,solo,60,6.01,517.44,SK0506_5_solo555_60_mono.wav
5176,99.77839378,297.1032997,70.16080809,83.15821881,0.017996621,0.061599092,19.0716217,6566,65,solo,61,6.32,544.49,SK0506_5_solo555_61_mono.wav
5177,75.08409642,310.7582634,66.24601621,76.81744831,0.021285374,0.063379423,15.4483211,6566,65,solo,62,5.46,470.41,SK0506_5_solo555_62_mono.wav
5178,85.70214592,264.1440979,68.17224891,76.43750508,0.016603157,0.056449435,14.7317431,6566,65,solo,63,5.03,433.03,SK0506_5_solo555_63_mono.wav
5179,58.90789564,272.6155755,65.55058213,77.36231592,0.025884656,0.065482213,12.4737092,6566,65,solo,64,4.26,366.54,SK0506_5_solo555_64_mono.wav
5180,78.30545779,284.339705,68.34113102,85.30661976,0.014979727,0.057984725,19.1067654,6566,65,solo,65,8.04,692.89,SK0506_5_solo555_65_mono.wav
5181,87.82973662,270.0467572,70.17663388,82.87337563,0.011372336,0.048082175,18.1992095,6566,65,solo,66,4.67,402.54,SK0506_5_solo555_66_mono.wav
5182,86.99333562,313.9453941,71.2526938,87.30485036,0.016743484,0.070096355,20.4068691,6566,65,solo,67,5.69,490.48,SK0506_5_solo555_67_mono.wav
5183,110.1491871,327.7447272,68.98787957,78.47186808,0.018225644,0.056342329,18.0157439,6566,65,solo,68,6.65,572.91,SK0506_5_solo555_68_mono.wav
5184,120.6650907,272.8141415,71.55534481,80.50379283,0.016345518,0.061516444,18.9204936,6566,65,solo,69,5.44,468.52,SK0506_5_solo555_69_mono.wav
5185,96.80428378,300.1552211,68.53542947,81.79123846,0.018120887,0.063951243,18.4027466,6566,65,solo,6,8.69,748.11,SK0506_5_solo555_6_mono.wav
5186,96.05690369,264.8738058,66.52611662,76.46003667,0.018900435,0.053286548,17.5490003,6566,65,solo,70,4.55,392.21,SK0506_5_solo555_70_mono.wav
5187,99.0133533,577.0093138,70.18592327,79.85118423,0.01758691,0.062856962,14.8945569,6566,65,solo,71,4.43,381.61,SK0506_5_solo555_71_mono.wav
5188,121.8161065,377.2567493,69.95829586,78.91792988,0.019838622,0.059602918,18.4175179,6566,65,solo,72,5.88,506.33,SK0506_5_solo555_72_mono.wav
5189,97.57804078,285.7060342,69.38694328,82.0848658,0.013963862,0.064612959,18.7933848,6566,65,solo,73,4.36,376.01,SK0506_5_solo555_73_mono.wav
5190,117.9626406,279.2475325,69.7164445,79.82321262,0.014411117,0.068275397,17.8878946,6566,65,solo,74,4.67,402.37,SK0506_5_solo555_74_mono.wav
5191,124.9381293,286.0657696,71.38544286,78.22239035,0.014153231,0.072402511,18.4064474,6566,65,solo,75,5.07,436.51,SK0506_5_solo555_75_mono.wav
5192,86.3782626,276.8495674,69.67785053,82.30399264,0.011591536,0.058285049,20.4610543,6566,65,solo,76,5.04,433.89,SK0506_5_solo555_76_mono.wav
5193,102.6482781,543.364538,69.04164699,78.53594759,0.015152464,0.059278463,18.1335937,6566,65,solo,77,5.63,484.8,SK0506_5_solo555_77_mono.wav
5194,95.06956768,287.0595767,69.28795434,80.39199788,0.013116618,0.054431892,18.1434971,6566,65,solo,78,6.38,549.57,SK0506_5_solo555_78_mono.wav
5195,118.9815731,493.4905439,69.97123645,80.51406077,0.012647831,0.059614856,17.5742211,6566,65,solo,79,6.11,526.49,SK0506_5_solo555_79_mono.wav
5196,80.8381019,507.2812017,67.6135404,81.75500676,0.015644649,0.059572485,17.8664261,6566,65,solo,7,6.12,526.92,SK0506_5_solo555_7_mono.wav
5197,88.6509878,540.0487057,68.98152568,81.74883381,0.014873643,0.067807134,18.4854224,6566,65,solo,80,6.81,586.26,SK0506_5_solo555_80_mono.wav
5198,87.51674391,339.8274384,66.6334575,75.53449191,0.023460579,0.078057037,14.3113749,6566,65,solo,8,5.82,500.99,SK0506_5_solo555_8_mono.wav
5199,114.3065413,401.8110335,68.38145077,76.16521984,0.023103302,0.072356976,20.4307159,6566,65,solo,9,3.98,343.02,SK0506_5_solo555_9_mono.wav
5200,110.7161951,348.4949432,67.77673931,76.19927573,0.02122329,0.060733388,13.7791647,6566,66,solo,10,5.96,513.22,SK0506_6_solo555_10_mono.wav
5201,92.9440009,334.9905525,67.7137403,81.43795701,0.012115934,0.068631403,17.7174537,6566,66,solo,11,6.59,567.23,SK0506_6_solo555_11_mono.wav
5202,87.9319976,368.8756453,70.44685953,85.20124692,0.02410024,0.069799303,17.4861806,6566,66,solo,12,6.99,602.2,SK0506_6_solo555_12_mono.wav
5203,98.96091365,592.0594289,71.45453997,79.08844177,0.013980498,0.044356084,16.4264449,6566,66,solo,13,4.31,371.1,SK0506_6_solo555_13_mono.wav
5204,82.024944,553.1445741,69.40966204,83.56601505,0.018191084,0.062772733,18.5600513,6566,66,solo,14,6.15,529.85,SK0506_6_solo555_14_mono.wav
5205,83.50928252,372.7746275,66.34005388,81.56085232,0.023241516,0.06361086,15.0843711,6566,66,solo,15,6,517.18,SK0506_6_solo555_15_mono.wav
5206,81.94643062,296.7042004,66.44124785,80.88546817,0.018391657,0.064596543,15.1780099,6566,66,solo,16,6.24,537.17,SK0506_6_solo555_16_mono.wav
5207,96.47664427,374.1995108,67.3466989,78.48913269,0.017038647,0.067968991,14.0302902,6566,66,solo,17,7.61,655.94,SK0506_6_solo555_17_mono.wav
5208,84.74272279,339.7716048,67.7523086,77.56770464,0.019353047,0.053261916,14.1219357,6566,66,solo,18,7.81,673,SK0506_6_solo555_18_mono.wav
