,File Name,Mean Pitch,Max Pitch,Mean Intensity,Max Intensity,Jitter,Shimmer,NHR,dyad,speaker,session,sentence,duration(s),size(K),file_name
24,d3031_30_imitation555_32_mono.wav,150.13407428519852,286.27419599769394,70.56695523044512,77.0790573136849,0.0126063518499582,0.0488769890580558,18.5697252,3031,30,imitation,32,3.73,321.24,d3031_30_imitation555_32_mono.wav
25,d3031_30_imitation555_33_mono.wav,138.04577281383231,330.3218214725941,68.98885931306746,75.4293539276259,0.012240929966732,0.0560496933048066,16.4341896,3031,30,imitation,33,6.34,546.18,d3031_30_imitation555_33_mono.wav
26,d3031_30_imitation555_34_mono.wav,129.23114974438562,295.6666778192196,69.14105866791955,79.06359720991863,0.0180832743131606,0.0747946411815564,15.6213543,3031,30,imitation,34,4.66,401.76,d3031_30_imitation555_34_mono.wav
27,d3031_30_imitation555_35_mono.wav,140.64895653964615,290.6687437147687,69.19535057301879,76.54349703539603,0.0165089443756004,0.0651955437433691,15.0611713,3031,30,imitation,35,3.81,328.25,d3031_30_imitation555_35_mono.wav
28,d3031_30_imitation555_36_mono.wav,135.06278012090482,317.61671191970913,68.28250020177255,76.73902981127229,0.0157588543657865,0.0619413034521347,16.9076215,3031,30,imitation,36,7.43,639.78,d3031_30_imitation555_36_mono.wav
29,d3031_30_imitation555_37_mono.wav,128.45729154229676,304.5056949127034,69.14086074415769,76.73918228617582,0.0191142720225373,0.0645214618368858,15.483993,3031,30,imitation,37,7.31,629.88,d3031_30_imitation555_37_mono.wav
30,d3031_30_imitation555_38_mono.wav,143.01705863752596,320.6603135639144,70.99503722500248,79.04508681075644,0.0154825801928962,0.064609672773388,16.0393112,3031,30,imitation,38,6.35,547.15,d3031_30_imitation555_38_mono.wav
31,d3031_30_imitation555_39_mono.wav,142.60938950862527,323.6312019975676,67.95628037430241,74.57949905476215,0.017120947180429,0.0702354240135819,13.2716547,3031,30,imitation,39,5.34,460.34,d3031_30_imitation555_39_mono.wav
32,d3031_30_imitation555_3_mono.wav,110.42966315734736,294.1932987943339,68.94656835818986,78.16751615216114,0.0159553608876595,0.0624460241089566,14.7042355,3031,30,imitation,3,3.58,308.57,d3031_30_imitation555_3_mono.wav
33,d3031_30_imitation555_40_mono.wav,121.95186745960416,549.2258418280358,69.78976011953247,79.70273369232923,0.0149360347662192,0.0702979103952287,16.5576904,3031,30,imitation,40,4.94,425.84,d3031_30_imitation555_40_mono.wav
34,d3031_30_imitation555_41_mono.wav,114.01280931635348,312.8989874148613,69.01308572105053,77.0832482025399,0.0140812042956165,0.0665790005258071,16.4706663,3031,30,imitation,41,3.64,313.36,d3031_30_imitation555_41_mono.wav
35,d3031_30_imitation555_42_mono.wav,122.01592922555216,287.91053053885975,68.51645352928222,76.65505774974861,0.0183769529090667,0.0676681576699534,14.8241916,3031,30,imitation,42,4.23,364.18,d3031_30_imitation555_42_mono.wav
36,d3031_30_imitation555_43_mono.wav,151.19054661316733,532.948593565697,69.46937972501699,77.21831237943157,0.0186498545829612,0.0637264896689265,16.9440661,3031,30,imitation,43,7.02,604.72,d3031_30_imitation555_43_mono.wav
37,d3031_30_imitation555_44_mono.wav,124.5503008922786,315.3308750464884,70.04023558472522,79.02819670502933,0.0154938963020523,0.065502076975414,16.2690705,3031,30,imitation,44,8.42,724.86,d3031_30_imitation555_44_mono.wav
38,d3031_30_imitation555_45_mono.wav,125.68051475027512,589.9880506300809,70.66120580383628,78.9149427187926,0.016161338326219,0.0692212087205252,17.43399,3031,30,imitation,45,5.03,433.58,d3031_30_imitation555_45_mono.wav
39,d3031_30_imitation555_46_mono.wav,133.83078629955494,319.0728762792412,68.91436440827314,78.46089351880377,0.0148444355682102,0.0664130633304265,16.7062791,3031,30,imitation,46,5.06,436.22,d3031_30_imitation555_46_mono.wav
40,d3031_30_imitation555_47_mono.wav,108.51419468400458,589.1613353309506,69.84575801344563,78.37789389634361,0.0161177392697659,0.064311003510996,14.7823568,3031,30,imitation,47,4.91,422.56,d3031_30_imitation555_47_mono.wav
41,d3031_30_imitation555_48_mono.wav,149.3204496302086,541.141070699241,68.52992904299195,75.35836243678442,0.0163681701036508,0.0573671099593072,16.8133727,3031,30,imitation,48,4.62,397.72,d3031_30_imitation555_48_mono.wav
42,d3031_30_imitation555_49_mono.wav,135.19397533749412,592.396933072847,70.59765690937972,79.58480818404769,0.016316653212054,0.0629990394277729,16.0189148,3031,30,imitation,49,6.1,525.56,d3031_30_imitation555_49_mono.wav
43,d3031_30_imitation555_4_mono.wav,123.10877220812591,292.3170630138192,67.31542220052876,75.93847549052208,0.016906849876853,0.0671226116161487,15.4707338,3031,30,imitation,4,5.0,430.44,d3031_30_imitation555_4_mono.wav
44,d3031_30_imitation555_50_mono.wav,151.0303375676599,583.7671302557081,70.13518696952103,77.10188575093235,0.0181987324850697,0.057408228824452,16.355135,3031,30,imitation,50,3.49,300.87,d3031_30_imitation555_50_mono.wav
45,d3031_30_imitation555_51_mono.wav,139.02372924193395,313.2089739336374,69.07705993233871,77.30295217510205,0.016222009275806,0.061916085740467,16.8802835,3031,30,imitation,51,5.83,501.99,d3031_30_imitation555_51_mono.wav
46,d3031_30_imitation555_52_mono.wav,123.1752823166353,296.80545225433,69.18076978320235,76.78701358207178,0.0133942485913656,0.0613247440934593,15.1021039,3031,30,imitation,52,6.67,574.57,d3031_30_imitation555_52_mono.wav
47,d3031_30_imitation555_53_mono.wav,168.30705069138332,298.0110310621333,70.77463119990723,76.98914035125904,0.0149460166742245,0.0604543056834042,18.4592888,3031,30,imitation,53,3.34,287.63,d3031_30_imitation555_53_mono.wav
48,d3031_30_imitation555_54_mono.wav,143.1453145704017,515.561858480308,68.14439657368095,75.60166589571332,0.0170078309726453,0.0665118271413476,14.8547616,3031,30,imitation,54,4.47,385.42,d3031_30_imitation555_54_mono.wav
49,d3031_30_imitation555_55_mono.wav,118.83567124166568,483.34520154991833,67.98399713139273,77.61187052640453,0.0169195229258339,0.0576213677875576,17.3714326,3031,30,imitation,55,5.09,438.7,d3031_30_imitation555_55_mono.wav
50,d3031_30_imitation555_56_mono.wav,130.30926436772236,582.1686687846974,69.77604696318559,78.29143137879919,0.0139640723070271,0.0554851101509494,17.6034754,3031,30,imitation,56,7.33,631.46,d3031_30_imitation555_56_mono.wav
51,d3031_30_imitation555_57_mono.wav,126.95372471150012,590.0111776261001,70.15947665395335,81.25971993527546,0.0144207054773115,0.0542352788405522,18.5763042,3031,30,imitation,57,5.04,433.86,d3031_30_imitation555_57_mono.wav
52,d3031_30_imitation555_58_mono.wav,119.36057141240714,542.992376093483,69.12740117322585,76.45005438065286,0.0142479768022307,0.0572706172999544,16.5963485,3031,30,imitation,58,5.16,444.56,d3031_30_imitation555_58_mono.wav
53,d3031_30_imitation555_59_mono.wav,139.94976018551068,491.0946033490764,68.73167901534815,76.50738334156739,0.0166902991042788,0.0623125792531637,16.4344403,3031,30,imitation,59,6.66,573.79,d3031_30_imitation555_59_mono.wav
54,d3031_30_imitation555_5_mono.wav,153.42623480792406,302.0724183698012,69.28084481674244,76.1678986061736,0.0132130823171832,0.0736519032232068,17.5521383,3031,30,imitation,5,4.71,405.83,d3031_30_imitation555_5_mono.wav
55,d3031_30_imitation555_60_mono.wav,129.36873132251452,297.1062705736805,70.06227794862511,78.69077720997583,0.0141796196264369,0.0682052607220807,17.7311325,3031,30,imitation,60,5.92,510.18,d3031_30_imitation555_60_mono.wav
56,d3031_30_imitation555_61_mono.wav,112.20643119325096,306.79479782141453,69.4942054781803,80.13496654866913,0.0155185461034661,0.0706564595378684,15.916056,3031,30,imitation,61,6.09,525.01,d3031_30_imitation555_61_mono.wav
57,d3031_30_imitation555_62_mono.wav,140.12099131770248,563.9270002000494,69.10137553038068,75.55182026441179,0.0187406930434332,0.0655941113929953,16.3784941,3031,30,imitation,62,5.37,462.89,d3031_30_imitation555_62_mono.wav
58,d3031_30_imitation555_63_mono.wav,77.70431635030016,271.578787370129,67.8283210533574,78.39518347834793,0.0175269880872261,0.072677627338367,13.1122478,3031,30,imitation,63,4.55,392.21,d3031_30_imitation555_63_mono.wav
59,d3031_30_imitation555_64_mono.wav,116.96487518153182,312.8003796729535,68.26572247077495,77.44468795129563,0.0189917070617596,0.0686281723079328,15.7624602,3031,30,imitation,64,4.15,357.88,d3031_30_imitation555_64_mono.wav
60,d3031_30_imitation555_65_mono.wav,130.28868976866386,301.7913496057333,69.88759925289004,77.17493377701686,0.0152110786052878,0.0672929872835566,15.9025242,3031,30,imitation,65,7.04,606.61,d3031_30_imitation555_65_mono.wav
61,d3031_30_imitation555_66_mono.wav,110.21856378548112,323.4408066800807,68.91270498969232,76.35314734823436,0.0150758920854737,0.0577633745005083,16.838105,3031,30,imitation,66,5.13,442.05,d3031_30_imitation555_66_mono.wav
62,d3031_30_imitation555_67_mono.wav,148.08849808907362,521.8493197591979,69.93295666625811,77.55503090804056,0.0189980438063369,0.0579548517894818,16.5101706,3031,30,imitation,67,3.7,318.56,d3031_30_imitation555_67_mono.wav
63,d3031_30_imitation555_68_mono.wav,128.41031520594078,297.9685742691107,69.32092115053588,78.23525580193385,0.016350979822428,0.0538746906891225,15.9433141,3031,30,imitation,68,6.36,547.54,d3031_30_imitation555_68_mono.wav
64,d3031_30_imitation555_69_mono.wav,151.4272814881002,299.8019839102591,70.5060134517038,78.64627170441909,0.0166805864549665,0.0594746905674792,17.5815121,3031,30,imitation,69,5.92,509.86,d3031_30_imitation555_69_mono.wav
65,d3031_30_imitation555_6_mono.wav,113.9996973144497,301.3466632089681,68.22574390928956,76.826819075127,0.0146662404199146,0.055378345923679,15.1020583,3031,30,imitation,6,7.92,682.17,d3031_30_imitation555_6_mono.wav
66,d3031_30_imitation555_70_mono.wav,105.04065166813308,276.1989445052432,69.96889739363611,78.33664103700156,0.0174318138073876,0.0581755738453502,15.0291036,3031,30,imitation,70,4.15,357.71,d3031_30_imitation555_70_mono.wav
67,d3031_30_imitation555_71_mono.wav,102.64592433755136,526.9260860219804,68.0717152438004,76.90755933378705,0.0166620583965472,0.074148266255454,13.3328442,3031,30,imitation,71,4.66,401.05,d3031_30_imitation555_71_mono.wav
68,d3031_30_imitation555_72_mono.wav,147.65748095974922,592.0293047903228,71.14712558188066,78.2086916206404,0.0145253337982193,0.0613928229046741,17.1693147,3031,30,imitation,72,6.39,550.7,d3031_30_imitation555_72_mono.wav
69,d3031_30_imitation555_73_mono.wav,119.77345097516351,297.2422896906416,69.8466329722115,78.39371466809072,0.0147960708525897,0.0640529876224258,16.2468435,3031,30,imitation,73,4.73,407.64,d3031_30_imitation555_73_mono.wav
70,d3031_30_imitation555_74_mono.wav,112.3196979093181,307.07387375545824,69.28290070020128,77.17087039294282,0.0133949670206587,0.0598357808985201,16.5824644,3031,30,imitation,74,5.97,513.84,d3031_30_imitation555_74_mono.wav
71,d3031_30_imitation555_75_mono.wav,156.18819313745485,313.8353231499924,71.47069266515587,77.56252725286637,0.0104164467572924,0.0496836302131885,20.3737606,3031,30,imitation,75,4.68,403.07,d3031_30_imitation555_75_mono.wav
72,d3031_30_imitation555_76_mono.wav,138.64759107733664,562.5934963338439,69.33322377825175,76.56699212188117,0.013737343410167,0.0564672919456972,17.2968232,3031,30,imitation,76,4.78,411.68,d3031_30_imitation555_76_mono.wav
73,d3031_30_imitation555_77_mono.wav,136.20725084664133,590.1043638762154,68.74268230419305,78.67204639383044,0.0188425220967802,0.0710036474294135,16.736737,3031,30,imitation,77,5.86,504.93,d3031_30_imitation555_77_mono.wav
74,d3031_30_imitation555_78_mono.wav,115.23410136476454,323.1074667700004,69.5351563845386,77.54530126867822,0.014909679447124,0.0522321451662569,15.7393833,3031,30,imitation,78,6.22,535.87,d3031_30_imitation555_78_mono.wav
75,d3031_30_imitation555_79_mono.wav,115.9792083323869,553.1442932986777,67.66241601391533,77.13397149305833,0.0149321551400564,0.063348034145199,15.3028957,3031,30,imitation,79,7.64,657.67,d3031_30_imitation555_79_mono.wav
76,d3031_30_imitation555_7_mono.wav,92.4345846089104,518.597558761223,66.51005815112907,75.97761537955363,0.0205194609681504,0.0770745815316718,11.6323393,3031,30,imitation,7,5.77,497.0,d3031_30_imitation555_7_mono.wav
77,d3031_30_imitation555_80_mono.wav,155.52318603616163,568.1851102340144,70.21748667007564,77.56316695983416,0.0200726120418811,0.0680634331622085,16.003325,3031,30,imitation,80,4.91,423.0,d3031_30_imitation555_80_mono.wav
78,d3031_30_imitation555_8_mono.wav,122.5701943785876,294.5179140662011,68.79819178464585,78.85343229229838,0.0151347377925005,0.0654407907698921,16.4500133,3031,30,imitation,8,5.76,496.54,d3031_30_imitation555_8_mono.wav
79,d3031_30_imitation555_9_mono.wav,141.00087009843844,406.7324877715996,70.1742334002468,77.94630731680515,0.017646903834901,0.0534301817944783,18.8155752,3031,30,imitation,9,3.42,294.36,d3031_30_imitation555_9_mono.wav
80,d3031_31_imitation555_10_mono.wav,136.398289379486,294.80854591302244,77.8143902878269,84.5478687931811,0.0156247703503577,0.0576604607651158,19.777032,3031,31,imitation,10,4.76,410.43,d3031_31_imitation555_10_mono.wav
81,d3031_31_imitation555_11_mono.wav,114.3682770576772,327.9358523342325,78.26108819694294,89.25341840840419,0.0165163839675129,0.061961221065477,17.4820484,3031,31,imitation,11,5.17,445.16,d3031_31_imitation555_11_mono.wav
82,d3031_31_imitation555_12_mono.wav,102.45908243556812,329.96527739267265,77.78585448116948,85.83372940251016,0.0189586925166115,0.0632237514907698,16.6928986,3031,31,imitation,12,6.21,534.7,d3031_31_imitation555_12_mono.wav
83,d3031_31_imitation555_13_mono.wav,112.36188242351736,313.45337600595417,79.2539378902504,86.5300187820027,0.0157233519046011,0.058429522108847,18.1441283,3031,31,imitation,13,3.38,291.1,d3031_31_imitation555_13_mono.wav
84,d3031_31_imitation555_14_mono.wav,111.62556759410536,338.2493879132988,77.4921637294532,86.30346189191393,0.0155466088739506,0.0553120674885461,18.8057184,3031,31,imitation,14,5.12,441.36,d3031_31_imitation555_14_mono.wav
85,d3031_31_imitation555_15_mono.wav,135.48030190584768,291.5693795421554,79.83306979610175,88.14221736701901,0.0146480204346331,0.0645303425722657,17.6618033,3031,31,imitation,15,4.34,373.91,d3031_31_imitation555_15_mono.wav
